Planet,"a
(km)",e,"P
(days)",p (s),a (m),,a^3 (m^3),p^2 (s^2),p^2 (s^2) / a^3 (m^3),estan todos los de los dos primeros planetas y 25 de jupiter,,,,,Celestial Body,Semi-Major Axis (km),Perihelion (km),Aphelion (km),Period (days),Velocity (km/s),Eccentricity,Inclination (degrees), a^3,p^2,(p^2)/( a^3)
Neptune,1.18E+05,0.00E+00,1.12E+06,9.70E+10,1.18E+08,,1.63E+24,9.40E+21,5.78E-03,,,,,,Mercury,5.79E+07,4.60009 × 107,6.98173 × 107,8.80E+01,4.79E+01,2.06E-01,7.01E+00,1.94E+23,7.74E+03,3.99E-20
Neptune,6.20E+04,0.00E+00,4.29E+05,3.70E+10,6.20E+07,,2.38E+23,1.37E+21,5.76E-03,,,,,,Venus,1.08E+08,1.07477 × 108,1.08940 × 108,2.25E+02,3.50E+01,6.76E-03,3.39E+00,1.27E+24,5.05E+04,3.98E-20
Neptune,5.25E+04,0.00E+00,3.35E+05,2.89E+10,5.25E+07,,1.45E+23,8.36E+20,5.78E-03,,,,,,Earth,1.50E+08,1.47100 × 108,1.52096 × 108,3.65E+02,2.98E+01,1.67E-02,0.00E+00,3.35E+24,1.33E+05,3.98E-20
Neptune,5.01E+04,0.00E+00,3.11E+05,2.69E+10,5.01E+07,,1.26E+23,7.22E+20,5.74E-03,,,,,,Moon,3.83E+05,3.62106 × 105,4.04689 × 105,2.72E+01,1.03E+00,5.56E-02,2.37E+01,5.64E+16,7.39E+02,1.31E-14
Neptune,4.82E+04,0.00E+00,2.94E+05,2.54E+10,4.82E+07,,1.12E+23,6.45E+20,5.76E-03,,,,,,Mars,2.28E+08,2.06645 × 108,2.49233 × 108,6.87E+02,2.41E+01,9.34E-02,1.85E+00,1.18E+25,4.72E+05,3.98E-20
Neptune,3.55E+05,0.00E+00,5.88E+06,5.08E+11,3.55E+08,,4.47E+25,2.58E+23,5.77E-03,,,,,,Jupiter,7.78E+08,7.40603 × 108,8.16038 × 108,4.33E+03,1.31E+01,4.85E-02,1.30E+00,4.71E+26,1.88E+07,3.98E-20
Neptune,1.05E+05,1.00E-01,9.50E+05,8.21E+10,1.05E+08,,1.17E+24,6.74E+21,5.77E-03,,,,,,Saturn,1.43E+09,1.35096 × 109,1.50724 × 109,1.08E+04,9.64E+00,5.47E-02,2.49E+00,2.92E+27,1.16E+08,3.98E-20
Neptune,7.35E+04,1.00E-01,5.55E+05,4.80E+10,7.35E+07,,3.97E+23,2.30E+21,5.79E-03,,,,,,Uranus,2.87E+09,2.73854 × 109,3.01104 × 109,3.08E+04,6.79E+00,4.74E-02,7.70E-01,2.38E+28,9.47E+08,3.98E-20
Neptune,2.22E+07,2.96E-01,2.92E+03,2.52E+08,2.22E+10,,1.10E+31,6.36E+16,5.78E-15,MIREN LA DERECHA,,,,,Neptune,4.50E+09,4.46384 × 109,4.54594 × 109,6.04E+04,5.43E+00,9.11E-03,1.77E+00,9.14E+28,3.64E+09,3.98E-20
Neptune,4.76E+07,4.13E-01,9.15E+03,7.90E+08,4.76E+10,,1.08E+32,6.25E+17,5.78E-15,,,,,,Pluto,5.92E+09,4.44212 × 109,7.38868 × 109,9.08E+04,4.74E+00,2.49E-01,1.71E+01,2.07E+29,8.25E+09,3.98E-20
Neptune,2.35E+07,4.19E-01,3.17E+03,2.74E+08,2.35E+10,,1.30E+31,7.49E+16,5.77E-15,,,,,,,,,,,,,,,,
Neptune,2.34E+07,4.33E-01,3.15E+03,2.72E+08,2.34E+10,,1.28E+31,7.41E+16,5.77E-15,,,,,,fuentes de los planetas:,,,,,,,,,,"a priori estan bien los datos, la cuenta da (despejar G)"
Neptune,4.99E+07,4.55E-01,9.81E+03,8.47E+08,4.99E+10,,1.24E+32,7.18E+17,5.78E-15,,,,,,https://orbital-mechanics.space/reference/planetary-parameters.html,,,,,,,,,,
Neptune,5.07E+07,5.03E-01,1.00E+04,8.68E+08,5.07E+10,,1.30E+32,7.53E+17,5.78E-15,,,,,,,,,,,,,,,,
Neptune,1.66E+07,5.21E-01,1.88E+03,1.62E+08,1.66E+10,,4.57E+30,2.64E+16,5.77E-15,,,,,,,,,,,,,,,,
Neptune,5.51E+06,7.51E-01,3.60E+08,3.11E+13,5.51E+09,,1.68E+29,9.68E+26,5.78E-03,,,,,,fuentes de los satelites:,,,,,,,,,,
,,,,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,#DIV/0!,,,,,,https://ssd.jpl.nasa.gov/sats/elem,,,,,,,,,,
Planet,"a
(km)",e,"P
(days)",#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,
Uranus,8.60E+04,0.00E+00,7.61E+05,6.58E+10,8.60E+07,,6.36E+23,4.33E+21,6.81E-03,,,,,,,,,,,,,,,,
Uranus,7.53E+04,0.00E+00,6.24E+05,5.39E+10,7.53E+07,,4.27E+23,2.90E+21,6.80E-03,,,,,,,,,,,,,,,,
Uranus,6.99E+04,0.00E+00,5.58E+05,4.83E+10,6.99E+07,,3.42E+23,2.33E+21,6.82E-03,,,,,,,,,,,,,,,,
Uranus,6.61E+04,0.00E+00,5.13E+05,4.43E+10,6.61E+07,,2.89E+23,1.97E+21,6.81E-03,,,,,,,,,,,,,,,,
Uranus,6.27E+04,0.00E+00,4.73E+05,4.09E+10,6.27E+07,,2.46E+23,1.67E+21,6.78E-03,,,,,,,,,,,,,,,,
Uranus,6.18E+04,0.00E+00,4.63E+05,4.00E+10,6.18E+07,,2.36E+23,1.60E+21,6.78E-03,,,,,,,,,,,,,,,,
Uranus,4.98E+04,0.00E+00,3.35E+05,2.89E+10,4.98E+07,,1.24E+23,8.36E+20,6.77E-03,,,,,,,,,,,,,,,,
Uranus,8.60E+04,0.00E+00,7.62E+05,6.58E+10,8.60E+07,,6.36E+23,4.33E+21,6.81E-03,,,,,,,,,,,,,,,,
Uranus,6.44E+04,1.00E-01,4.93E+05,4.26E+10,6.44E+07,,2.67E+23,1.82E+21,6.81E-03,,,,,,,,,,,,,,,,
Uranus,5.92E+04,1.00E-01,4.35E+05,3.76E+10,5.92E+07,,2.07E+23,1.41E+21,6.81E-03,,,,,,,,,,,,,,,,
Uranus,1.30E+05,1.00E-01,1.41E+06,1.22E+11,1.30E+08,,2.19E+24,1.49E+22,6.81E-03,,,,,,,,,,,,,,,,
Uranus,1.91E+05,1.00E-01,2.52E+06,2.18E+11,1.91E+08,,6.96E+24,4.74E+22,6.81E-03,,,,,,,,,,,,,,,,
Uranus,7.64E+04,2.00E-01,6.38E+05,5.52E+10,7.64E+07,,4.46E+23,3.04E+21,6.82E-03,,,,,,,,,,,,,,,,
Uranus,5.84E+05,2.00E-01,1.35E+07,1.16E+12,5.84E+08,,1.99E+26,1.35E+24,6.81E-03,,,,,,,,,,,,,,,,
Uranus,4.36E+05,2.00E-01,8.71E+06,7.52E+11,4.36E+08,,8.31E+25,5.66E+23,6.81E-03,,,,,,,,,,,,,,,,
Uranus,9.77E+04,3.00E-01,9.23E+05,7.98E+10,9.77E+07,,9.33E+23,6.36E+21,6.82E-03,,,,,,,,,,,,,,,,
Uranus,2.66E+05,4.00E-01,4.14E+06,3.58E+11,2.66E+08,,1.88E+25,1.28E+23,6.81E-03,,,,,,,,,,,,,,,,
Uranus,7.44E+04,5.00E-01,6.13E+05,5.30E+10,7.44E+07,,4.12E+23,2.81E+21,6.82E-03,,,,,,,,,,,,,,,,
Uranus,5.38E+04,1.10E-01,3.77E+05,3.26E+10,5.38E+07,,1.56E+23,1.06E+21,6.81E-03,,,,,,,,,,,,,,,,
Uranus,4.28E+06,1.44E-01,2.67E+02,2.31E+07,4.28E+09,,7.82E+28,5.32E+14,6.81E-15,,,,,,,,,,,,,,,,
Uranus,7.17E+06,2.00E-01,5.80E+02,5.01E+07,7.17E+09,,3.68E+29,2.51E+15,6.82E-15,,,,,,,,,,,,,,,,
Uranus,8.50E+06,2.20E-01,7.49E+02,6.47E+07,8.50E+09,,6.15E+29,4.19E+15,6.81E-15,,,,,,,,,,,,,,,,
Uranus,7.95E+06,2.35E-01,6.77E+02,5.85E+07,7.95E+09,,5.03E+29,3.42E+15,6.81E-15,,,,,,,,,,,,,,,,
Uranus,7.98E+06,2.50E-01,6.81E+02,5.88E+07,7.98E+09,,5.08E+29,3.46E+15,6.82E-15,,,,,,,,,,,,,,,,
Uranus,2.04E+07,3.95E-01,2.79E+03,2.41E+08,2.04E+10,,8.52E+30,5.80E+16,6.81E-15,,,,,,,,,,,,,,,,
Uranus,1.62E+07,4.41E-01,1.97E+03,1.71E+08,1.62E+10,,4.27E+30,2.91E+16,6.82E-15,,,,,,,,,,,,,,,,
Uranus,1.22E+07,5.20E-01,1.29E+03,1.11E+08,1.22E+10,,1.81E+30,1.23E+16,6.81E-15,,,,,,,,,,,,,,,,
Uranus,1.75E+07,5.79E-01,2.22E+03,1.91E+08,1.75E+10,,5.38E+30,3.66E+16,6.81E-15,,,,,,,,,,,,,,,,
Uranus,1.44E+07,6.42E-01,1.66E+03,1.43E+08,1.44E+10,,3.00E+30,2.04E+16,6.81E-15,,,,,,,,,,,,,,,,
,,,,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,#DIV/0!,,,,,,,,,,,,,,,,
Planet,"a
(km)",e,"P
(days)",#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,
Jupiter,1.28E+05,0.00E+00,2.95E+05,2.55E+10,1.28E+08,,2.10E+24,6.49E+20,3.09E-04,,,,,,,,,,,,,,,,
Jupiter,1.29E+05,0.00E+00,2.98E+05,2.58E+10,1.29E+08,,2.15E+24,6.64E+20,3.09E-04,,,,,,,,,,,,,,,,
Jupiter,1.07E+06,1.00E-01,7.16E+06,6.18E+11,1.07E+09,,1.23E+27,3.82E+23,3.12E-04,,,,,,,,,,,,,,,,
Jupiter,1.81E+05,3.00E-01,5.00E+05,4.32E+10,1.81E+08,,5.97E+24,1.87E+21,3.13E-04,,,,,,,,,,,,,,,,
Jupiter,4.22E+05,4.00E-01,1.76E+06,1.52E+11,4.22E+08,,7.50E+25,2.32E+22,3.09E-04,,,,,,,,,,,,,,,,
Jupiter,1.88E+06,7.00E-01,1.67E+07,1.44E+12,1.88E+09,,6.67E+27,2.08E+24,3.12E-04,,,,,,,,,,,,,,,,
Jupiter,6.71E+05,9.00E-01,3.53E+06,3.05E+11,6.71E+08,,3.02E+26,9.28E+22,3.07E-04,,,,,,,,,,,,,,,,
Jupiter,2.22E+05,1.80E-01,6.76E+05,5.84E+10,2.22E+08,,1.09E+25,3.41E+21,3.12E-04,,,,,,,,,,,,,,,,
Jupiter,2.03E+07,1.02E-01,5.92E+06,5.12E+11,2.03E+10,,8.41E+30,2.62E+23,3.12E-08,,,,,,,,,,,,,,,,
Jupiter,1.14E+07,1.17E-01,2.49E+06,2.15E+11,1.14E+10,,1.48E+30,4.61E+22,3.11E-08,,,,,,,,,,,,,,,,
Jupiter,1.17E+07,1.17E-01,2.59E+06,2.23E+11,1.17E+10,,1.60E+30,4.99E+22,3.12E-08,,,,,,,,,,,,,,,,
Jupiter,1.93E+07,1.48E-01,5.46E+06,4.72E+11,1.93E+10,,7.15E+30,2.23E+23,3.12E-08,,,,,,,,,,,,,,,,
Jupiter,1.14E+07,1.52E-01,2.49E+06,2.15E+11,1.14E+10,,1.49E+30,4.64E+22,3.11E-08,,,,,,,,,,,,,,,,
Jupiter,2.09E+07,1.55E-01,6.18E+06,5.34E+11,2.09E+10,,9.14E+30,2.85E+23,3.12E-08,,,,,,,,,,,,,,,,
Jupiter,1.14E+07,1.60E-01,2.50E+06,2.16E+11,1.14E+10,,1.50E+30,4.66E+22,3.11E-08,,,,,,,,,,,,,,,,
Jupiter,1.11E+07,1.62E-01,2.40E+06,2.08E+11,1.11E+10,,1.38E+30,4.31E+22,3.11E-08,,,,,,,,,,,,,,,,
Jupiter,1.63E+07,1.77E-01,4.26E+06,3.68E+11,1.63E+10,,4.35E+30,1.36E+23,3.12E-08,,,,,,,,,,,,,,,,
Jupiter,1.15E+07,1.78E-01,2.51E+06,2.17E+11,1.15E+10,,1.51E+30,4.71E+22,3.11E-08,,,,,,,,,,,,,,,,
Jupiter,1.17E+07,1.92E-01,2.59E+06,2.24E+11,1.17E+10,,1.61E+30,5.01E+22,3.12E-08,,,,,,,,,,,,,,,,
Jupiter,2.18E+07,1.97E-01,6.56E+06,5.67E+11,2.18E+10,,1.03E+31,3.21E+23,3.12E-08,,,,,,,,,,,,,,,,
Jupiter,2.11E+07,2.09E-01,6.25E+06,5.40E+11,2.11E+10,,9.36E+30,2.92E+23,3.12E-08,,,,,,,,,,,,,,,,
Jupiter,1.17E+07,2.12E-01,2.59E+06,2.24E+11,1.17E+10,,1.61E+30,5.00E+22,3.12E-08,,,,,,,,,,,,,,,,
Jupiter,1.87E+07,2.17E-01,5.22E+06,4.51E+11,1.87E+10,,6.53E+30,2.03E+23,3.12E-08,,,,,,,,,,,,,,,,
Jupiter,2.11E+07,2.20E-01,6.26E+06,5.41E+11,2.11E+10,,9.40E+30,2.93E+23,3.12E-08,,,,,,,,,,,,,,,,
Jupiter,2.26E+07,2.21E-01,6.94E+06,6.00E+11,2.26E+10,,1.15E+31,3.60E+23,3.12E-08,,,,,,,,,,,,,,,,